data.id	seg.size	status	RMS
c0_xy	205	1	-1
c0_xy	147	0	0.171936
c0_xy	176	1	-1
c0_xy	231	1	-1
c0_xy	244	1	-1
c0_xy	176	1	-1
c0_xy	144	1	-1
c0_xy	278	1	-1
c0_xy	219	1	-1
c0_xy	334	1	-1
c0_xy	132	1	-1
c0_xy	199	1	-1
c0_xy	270	0	0.253024
c0_xy	351	1	-1
c0_xy	190	1	-1
c0_xy	259	1	-1
c0_xy	254	1	-1
c0_xy	207	1	-1
c0_xy	270	1	-1
c0_xy	168	1	-1
c0_xy	198	0	0.266259
c0_xy	256	0	0.198607
c0_xy	174	1	-1
c0_xy	197	1	-1
c0_xy	225	1	-1
c0_xy	347	1	-1
c0_xy	117	1	-1
c0_xy	190	1	-1
c0_xy	161	1	-1
c0_xy	5	1	-1
c0_xy	232	1	-1
c0_xy	171	0	0.140657
c0_xy	109	1	-1
c0_xy	219	1	-1
c0_xy	170	1	-1
c0_xy	258	1	-1
c0_xy	187	0	0.22987
c0_xy	138	1	-1
c0_xy	168	0	0.289348
c0_xy	214	1	-1
c0_xy	240	1	-1
c0_xy	184	1	-1
c0_xy	123	1	-1
